id,team_city,team_name,team_abbr
48,Buffalo,Bills,BUF
49,Miami,Dolphins,MIA
50,New England,Patriots,NE
51,New York,Jets,NYJ
52,Dallas,Cowboys,DAL
53,New York,Giants,NYG
54,Philadelphia,Eagles,PHI
55,Washington,Redskins,WAS
56,Baltimore,Ravens,BAL
57,Cincinnati,Bengals,CIN
58,Cleveland,Browns,CLE
59,Pittsburgh,Steelers,PIT
60,Chicago,Bears,CHI
61,Detroit,Lions,DET
62,Green Bay,Packers,GB
63,Minnesota,Vikings,MIN
64,Houston,Texans,HOU
65,Indianapolis,Colts,IND
66,Jacksonville,Jaguars,JAX
67,Tennessee,Titans,TEN
68,Atlanta,Falcons,ATL
69,Carolina,Panthers,CAR
70,New Orleans,Saints,NO
71,Tampa Bay,Buccaneers,TB
72,Denver,Broncos,DEN
73,Kansas City,Chiefs,KC
74,Oakland,Raiders,OAK
75,San Diego,Chargers,SD
76,Arizona,Cardinals,ARI
78,San Francisco,49ers,SF
79,Seattle,Seahawks,SEA
80,Los Angeles,Rams,LA
